"PID","CWV","react","impact_rel","impact_comp","impact_quit","own_likeman","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","elg","og_pid","task","age","race","edu","income","gender","employment","feedback","income_num","edu_num","white","man"
50,3.1,"I think that the employee would have been forced to submit the incomplete paperwork, which would result in it being rejected. Then the manager would be upset and would likely punish the employee for not doing their job right. I think the employee would also be upset because they attempted to correct the mistake. They would feel like they were wrong (because they were), however the manager would still see no fault in their own actions.",1,3,6,1,3,3,2,3,3,6,4,2,2,3,1,1,22,"File paperwork that the employee thinks is incorrect",28,"white","4yearColl","$20,001-$40,000","man","Full-time",NA,2,4,1,1
51,3.2,"I think it's a little extreme.  If this employee has to take an Uber home every day after work, that seems like it's a job perk to have the boss paying for it.  I don't think the boss' reaction is wrong.  That expense is coming out of the business money",3,4,6,3,5,5,1,2,3,5,3,2,2,4,1,1,19,"Make more sales",NA,"white","2yearColl","$40,001-$60,000","woman","Full-time",NA,3,3,1,0
52,3.3,"I think that the employee did what they were told but were not happy about it.",2,7,5,2,5,6,1,2,4,5,1,1,3,5,1,1,7,"Use hand-made and uploaded images",39,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
53,2.4,"The employee likely felt obliged to work, given the manager's insistence. However, I would expect the employee to feel more negatively about her manager, her employer and her job as a result.",1,7,7,1,5,1,1,2,6,2,1,1,2,3,1,1,42,"Take up a colleague's duty as the employee was signing out",39,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
54,2.9,"I think the employee went and did what they were supposed to do. Nothing negative happened to the manager for behaving that way.",3,7,4,1,4,5,2,4,2,3,2,2,2,3,1,1,39,"Clean something that the janitor normally cleans",32,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
55,3.5,"Based on my experience in retail, she was probably verbally reprimanded. I wouldn't anticipate anything huge happening (losing her job, or hours) unless it was a COMPANY policy, but sometimes managers go out on ego trips.",1,1,7,2,6,5,2,3,2,5,2,1,6,3,1,1,21,"Give customers a hand-massage to try out the lotion",34,"white","4yearColl","$120,001-$140,000","man","Full-time",NA,7,4,1,1
56,3.3,"I think the employee was reprimanded for nor completing the assignment despite it not being his fault. The employee was the only one scolded which probably doesn't shock the employee.",3,3,5,1,5,3,2,4,3,3,2,2,4,5,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",30,"white","MA","$120,001-$140,000","man","Full-time","N/a",7,5,1,1
57,2,"I think the employee reported the behavior and the manager was given a talking to by HR and resulted in them trying to not let this sort of thing happen again.",1,6,6,1,3,2,1,2,1,2,2,4,1,2,1,1,29,"Help in completing the manager's project",38,"hispanic","4yearColl","$120,001-$140,000","man","Full-time","n/a",7,4,0,1
58,1.5,"What most likely happened was the manager didn't really see any consequences. The manager continued to push for what they wanted, making the writer's job more miserable and unpleasant.",2,1,7,1,1,1,1,1,2,2,2,1,2,2,1,1,51,"Wash the vehicle every day, even if late",33,"asian","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,0,1
59,2.7,"I hope the employee contacted HR or another director to ask about consistency in expected behavior.  There should be a policy in place already, not sprung on them last minute.",1,4,7,1,5,2,3,3,2,5,2,1,3,1,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",38,"white","2yearColl","$160,001-$180,000","woman","Full-time",NA,9,3,1,0
61,1.4,"I would hope that the person reported it and it was dealt with but i am going to assume that they did nothing and took it to keep their job secure.",1,7,7,1,1,1,1,1,1,5,1,1,1,1,1,1,10,"Not take time off for a relative's doctor's appointment",36,"multiracial","4yearColl","$60,001-$80,000",NA,"Full-time",NA,4,4,0,NA
62,2.9,"The employee had to reschedule their mom's appointment, but I think that they also complained about the supervisor's behavior.  To yell so much that spit got all over the employee is really unacceptable.  Hopefully the employee got HR involved and the supervisor got talked to about being so aggressive and angry.",1,7,7,1,5,2,2,4,1,3,5,1,3,3,1,1,10,"Not take time off for a relative's doctor's appointment",57,"white","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,1,0
63,4.1,"she was must likely to be in trouble for her action companys have to follow certin perseders thats why there in place",2,1,6,4,5,3,5,5,4,5,3,5,3,3,1,1,28,"Complete the report like the rest of the team",19,"white","GED","$40,001-$60,000","woman","Full-time",NA,3,2,1,0
64,1,"They probably felt discouraged and beaten down. They knew they had already been doing what the manager requested of them so they probably felt like the manager didn't trust them.",2,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,30,"Get more customers to donate to charity",34,"white","GED","$0-$20,000","woman","Part-time",NA,1,2,1,0
65,4,"The employee's reaction show have been irritated or angry with his/or manager's behavior. I would have reported him to the CEO of the company with proof of text and tried to fight back.",1,1,7,1,7,7,4,1,5,7,1,4,1,3,1,1,28,"Complete the report like the rest of the team",21,"white","GED","$40,001-$60,000","man","Full-time",NA,3,2,1,1
66,2,"I think the person was denied the promotion because they could not fly across the country.  This may have been a way to eliminate them from contention.  The employee was upset by it.",1,1,6,1,2,2,2,1,2,2,2,1,3,3,1,1,9,"While pregnant, fly cross-country to debut a product",33,"white","4yearColl","$120,001-$140,000","man","Full-time",NA,7,4,1,1
67,3.7,"I think the employee did not provide any reason to counter what the manager said, she did not defend herself in any way and I think the manager is right.",3,4,5,4,5,3,5,2,5,5,2,3,4,3,1,1,43,"Be more focused at work",28,"black","4yearColl","$40,001-$60,000","man","Part-time",NA,3,4,0,1
68,3.9,"I believe the employee may have quit or waited to find a better job. The manager falsely accusing the employee that they are not doing their job without allowing a space for them to talk about the lack of donations. Horrible management.",1,2,1,1,4,3,3,3,5,4,2,3,5,7,1,1,30,"Get more customers to donate to charity",24,"asian","4yearColl","$40,001-$60,000","woman","Full-time","I love these surveys. Definitely gave me a sense of community that there are things I have encountered, thats common with others",3,4,0,0
69,2.8,"I don't think anything happened to the manager, other than perhaps a light statement about being more polite to employees. I am betting this type of behavior is commonplace in the organization, and that the employee was not surprised by the lack of recompense to the manager.",4,5,6,3,5,3,3,2,2,5,2,1,3,2,1,1,15,"Produce a great deal of documentation and research without additional compensation",42,"white","MA","$60,001-$80,000","woman","Full-time",NA,4,5,1,0
70,2.6,"The employee simply stopped sitting on the chair and didn't interact with anything that they didn't know the purpose of.",3,4,5,5,3,4,1,2,4,3,2,1,1,5,1,1,12,"Stop taking breaks in tenants' apartments",33,"white","4yearColl","Over $200,000","man","Full-time","No issues or additional commentary",11,4,1,1
71,2.5,"As a consequence, the employee most likely experience decreased morale, increased stress and resentment towards management",2,5,6,1,5,2,1,2,1,5,1,2,2,4,1,1,51,"Wash the vehicle every day, even if late",24,"white","2yearColl","$40,001-$60,000","woman","Full-time","thank you",3,3,1,0
72,2.3,"The employees likely grew to hate the job and it could lead to high employee turnover. The work was probably done correctly, at least.",1,7,7,1,3,2,2,3,1,5,1,1,3,2,1,1,38,"Work in teams to get a job done according to instructions",40,"white","GED","$60,001-$80,000","woman","Full-time",NA,4,2,1,0
73,3.6,"As a consequence the employee disliked their manager more. They perhaps tried to find a work around but ultimately did as they were told.",2,4,6,2,3,4,4,4,2,3,3,3,6,4,1,1,7,"Use hand-made and uploaded images",30,"white","GED","$0-$20,000","man","Full-time",NA,1,2,1,1
74,3.5,"I think it's possible the employee got really sick at work and maybe had to leave work early. They likely got in an argument with their manager and were possibly let got?I would expect the employee was angry and over the manger's terrible behavior",2,7,6,1,5,5,3,1,3,5,3,1,5,4,1,1,47,"Work in freezer while having the flu",31,NA,"PHD","$140,001-$160,000","woman","Full-time",NA,8,6,NA,0
75,3.1,"I think the employee decided to quit and left the manager high and dry.",1,1,7,1,5,3,1,2,4,5,3,2,3,3,1,1,19,"Make more sales",44,"white","MA","$100,001-$120,000","woman","Full-time",NA,6,5,1,0
76,3,"I believe the manager was reprimanded in some way but was not fired. I have no idea what the employees reaction was. If it were me, an apology would have sufficed.",2,3,6,1,4,2,2,3,2,5,2,2,5,3,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",39,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
77,3.6,"The reaction was most definitely negative.   I'm almost certain that the employee considered their future employment with that company at the point.",1,1,7,1,5,4,2,7,2,5,3,3,3,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",52,"black","GED","$40,001-$60,000","man","Full-time",NA,3,2,0,1
78,2.5,"I think the employee probably did what the manager was demanding but did it grudgingly.  The employee should have put together a fact-based pro-and-con argument about why the manager's idea may not be the better way to go.",2,7,4,1,2,3,1,1,3,7,3,1,2,2,1,1,7,"Use hand-made and uploaded images",56,"white","MA","Over $200,000","woman","Full-time",NA,11,5,1,0
79,2.5,"The employee likely felt disrespected that her manager asked her to do something impossible, such as flying while nearing full-term in her pregnancy. As a consequence, the employee likely either went to HR despite the manager's warning, and the manager may have been relocated or fired. Or, the employee may have quit the job for her own emotional and physical health.",1,4,1,1,2,3,2,2,3,3,2,2,3,3,1,1,9,"While pregnant, fly cross-country to debut a product",27,"white","GED","$60,001-$80,000","woman","Part-time",NA,4,2,1,0
80,2.5,"Nothing probably happened. The employee was probably upset by it all but had no recourse.",1,5,7,2,3,2,1,2,2,6,2,1,3,3,1,1,12,"Stop taking breaks in tenants' apartments",48,"white","GED","$80,001-$100,000","man","Full-time",NA,5,2,1,1
81,3,"I think the employee may have taken it to higher ups and that person got in trouble.",2,2,6,1,2,3,3,3,2,3,3,5,3,3,1,1,13,"Spearhead a project for a new children's exhibit",26,"white","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,1,0
82,2.1,"The manager may have had to be spoken to, to better communicate his requests and to control his anger or outburst. The employee would have likely accepted this, as long as the manager followed through with the request.",2,4,7,2,1,4,1,1,2,4,1,1,4,2,1,1,51,"Wash the vehicle every day, even if late",41,"black","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,0,1
83,2.9,"The Manager's behavior probably resulted in some discussion from their supervisor allowing someone who is sick to continue working can have effects on the rest of the staff becoming sick. It sounds like the company needs more staffing to allow for sick time to be used.",2,3,1,1,4,4,2,2,2,4,2,4,1,4,1,1,47,"Work in freezer while having the flu",55,"white","2yearColl","$100,001-$120,000","man","Full-time","Thank You.",6,3,1,1
84,2.1,"I think the employee was probably frustrated with the request and did not perform to the best of his ability, or perhaps rushed the task knowing that they were not being compensated fairly for it and wanted to get it over with, with no regard to how well it was completed. The employee seemed annoyed of his manager's request, especially not being compensated for it.",1,3,2,1,1,1,1,1,1,4,2,1,5,4,1,1,15,"Produce a great deal of documentation and research without additional compensation",32,"hispanic","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,0,0
85,3.3,"The employee told the manager how she felt about touching random people. Since the manager only indicated she was not happy(and not a requirement) she allowed the employee to be excluded. The employee still felt uneasy but was satisfied.",3,1,2,1,5,5,1,1,4,5,3,1,3,5,1,1,21,"Give customers a hand-massage to try out the lotion",43,"black","GED","$160,001-$180,000","man","Part-time",NA,9,2,0,1
86,2.3,"Due to the manager's behavior, nobody stayed and he had a lot of people quitting, that is probably why he was short-staffed. 

I'm not sure what you mean about the employees reaction, to what?",1,7,7,1,3,3,1,1,3,3,2,1,3,3,1,1,47,"Work in freezer while having the flu",19,"white","2yearColl","$80,001-$100,000","woman","Full-time",NA,5,3,1,0
87,2.5,"Manager is patronizing and condescending. I imagine employee quit, or manager was spoken to, and asked to be a better leader.",1,7,7,1,4,3,2,2,3,2,2,2,2,3,1,1,28,"Complete the report like the rest of the team",48,"multiracial","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,0,0
88,2.6,"The employee is going to do even less or leave.  That manager did a terrible job of motivating the employee.  Managers should not expect 100% constantly and should be able to work positively with employees.",1,2,7,1,5,3,3,4,2,2,2,1,2,2,1,1,43,"Be more focused at work",36,"white","MA","$160,001-$180,000","man","Full-time",NA,9,5,1,1
89,3.6,"the employee was shocked and the manager got in trouble",1,2,6,4,5,3,5,6,1,5,3,6,1,1,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",NA,"asian","2yearColl","$100,001-$120,000","man","Full-time",NA,6,3,0,1
90,3.6,"Workers were stressed out and made mistakes. This was caused by the undo pressure from the manager.",2,6,5,1,3,6,3,3,3,4,3,6,2,3,1,1,38,"Work in teams to get a job done according to instructions",40,"black","4yearColl","$140,001-$160,000","man","Full-time",NA,8,4,0,1
91,3.8,"The employee might feel like they are not doing a good job and that this was a really demotivating experience. Managers should build up their employees, but not talk down to them.",1,5,3,1,5,5,3,4,4,3,5,3,3,3,1,1,31,"Clean the rooms faster",30,NA,"MA","$100,001-$120,000","man","Full-time",NA,6,5,NA,1
92,3.3,"I doubt anything happened to the manager. I would assume the employee wouldn't be surprised, but probably still frustrated.",2,7,5,1,5,5,2,3,2,5,1,2,6,2,1,1,30,"Get more customers to donate to charity",34,"white","4yearColl","$120,001-$140,000","man","Full-time",NA,7,4,1,1
93,2.3,"I don't think there were any consequences for the manager. I think the employee would be vary uncomfortable at work.",1,1,7,1,2,2,1,2,1,2,2,2,6,3,1,1,21,"Give customers a hand-massage to try out the lotion",43,"hispanic","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,0,1
94,1.8,"I think the person was a bit embarrassed about the situation. I think this person had a chance to find something they liked to do even though they knew it wasn't right that they were using a space and things meant for someone else and using it for their own personal use, which might be some kind of violation to some rules. The employee seemed to understand that their actions might not have been proper.",2,7,5,5,2,4,2,1,1,1,1,1,1,4,1,1,12,"Stop taking breaks in tenants' apartments",47,"hispanic","GED","$100,001-$120,000","man","Full-time",NA,6,2,0,1
95,3.3,"The employee probably felt like they didn't have a choice to complete the extra work and training regardless of compensation and would feel defeated. I think the manger on the other hand got something for nothing and furthered his power.",1,7,7,1,5,6,3,2,4,5,2,2,2,2,1,1,15,"Produce a great deal of documentation and research without additional compensation",41,"white","PHD","$80,001-$100,000","woman","Full-time",NA,5,6,1,0
96,1.8,"I believe that as a consequence to the manager's behavior, the employee likely left the position. The manager was creating a toxic and unstable work environment by failing to understand their employee and instead threatening the employee with punishment for not accomplishing the task.",1,1,7,1,5,1,1,1,1,5,1,1,1,1,1,1,51,"Wash the vehicle every day, even if late",30,"white","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,1,0
97,3.4,"I think the staff were inspired by her display of confidence. They would feel reinvigorated and motivated and optimistic as a result of their manager's comportment",6,7,7,4,6,2,1,4,3,6,1,1,5,5,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",26,"white","4yearColl","$60,001-$80,000","man","Full-time","I have none",4,4,1,1
