"PID","choice","points","attitude","rec","is_dom","MID","message","age","race","edu","income","gender","employment","feedback"
11,"Yes",35,7,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",43,"white","MA","$100,001-$120,000","woman","Full-time",""
12,"No",0,1,0,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",48,"white","4yearColl","$120,001-$140,000","woman","Part-time",""
13,"Yes",40,6,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",31,"asian","4yearColl","$140,001-$160,000","woman","Full-time",""
14,"No",0,2,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",30,"black","4yearColl","Over $200,000","man","Full-time",""
15,"Yes",23,3,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",44,"white","GED","$40,001-$60,000","woman","Full-time",""
16,"Yes",25,1,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",47,"white","GED","$60,001-$80,000","woman","Full-time",""
17,"No",0,1,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",36,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
18,"Yes",33,2,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",NA,"white","MA","$40,001-$60,000","woman","Full-time",""
19,"Yes",14,5,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",25,"black","4yearColl","$40,001-$60,000","man","Part-time",""
20,"Yes",22,2,1,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",48,"white","4yearColl","Over $200,000","woman","Full-time",""
21,"Yes",30,3,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",32,"black","2yearColl","$20,001-$40,000","woman","Part-time",""
22,"Yes",41,1,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",35,"white","4yearColl","$140,001-$160,000","woman","Full-time",""
23,"No",0,4,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",55,"white","4yearColl","$0-$20,000","man","Part-time",""
24,"Yes",38,2,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",28,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
25,"Yes",8,2,1,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",27,"white","GED","$20,001-$40,000","man","Full-time","not really "
26,"Yes",35,2,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",26,"white","MA","$40,001-$60,000","man","Full-time",""
27,"Yes",34,4,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",25,"white","4yearColl","$40,001-$60,000","man","Full-time",""
28,"Yes",0,1,1,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",29,"white","4yearColl","$20,001-$40,000","woman","Full-time","No"
29,"Yes",40,2,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",36,"asian","4yearColl","$120,001-$140,000","woman","Full-time",""
30,"No",0,1,1,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",51,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
31,"No",0,1,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",28,"white","4yearColl","$60,001-$80,000","man","Full-time",""
32,"Yes",1,6,1,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",64,"white","4yearColl","$40,001-$60,000","man","Full-time","good"
33,"Yes",38,4,1,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",43,"white","2yearColl","$100,001-$120,000","man","Full-time",""
34,"Yes",17,3,1,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",44,"white","MA","Over $200,000","man","Full-time",""
35,"Yes",15,4,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",39,"white","MA","$60,001-$80,000","man","Full-time",""
36,"No",0,1,0,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",28,"white","2yearColl","$20,001-$40,000","woman","Full-time",""
37,"Yes",41,3,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",27,"white","GED","$20,001-$40,000","woman","Full-time",""
38,"Yes",43,4,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",29,"white","GED","$140,001-$160,000","woman","Full-time",""
39,"Yes",38,7,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",44,"white","GED","$100,001-$120,000","man","Full-time",""
40,"Yes",17,4,1,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",36,"black","GED","$100,001-$120,000","woman","Full-time","Thank you."
41,"Yes",41,4,1,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",27,"multiracial","4yearColl","$60,001-$80,000","woman","Full-time",""
42,"No",0,1,1,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",41,"black","GED","$60,001-$80,000","man","Full-time","I chose not to do the task because I doubted that the manager would even pay me. They had a bad attitude and I wouldn't want to put my trust in that person. I also would feel bad working to help someone that is demeaning."
43,"Yes",44,4,1,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",65,"white","GED","$160,001-$180,000","woman","Full-time",""
44,"Yes",40,2,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",53,"white","4yearColl","$20,001-$40,000","man","Full-time",""
45,"No",0,1,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",48,"white","4yearColl","$100,001-$120,000","man","Full-time",""
46,"Yes",29,6,1,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",25,"white","4yearColl","$80,001-$100,000","man","Part-time",""
47,"Yes",48,6,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",42,"white","GED","$60,001-$80,000","man","Full-time","Wasnt bad, surprised i missed one somewhere but ill survive"
48,"Yes",14,6,1,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",33,"white","MA","$100,001-$120,000","man","Full-time",""
49,"No",0,4,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",41,"white","GED","$60,001-$80,000","man","Full-time","MA (I don't have anything to add, but sometime sQualtrics throws an error if I leave a box blank..hence I felt I should put somthing here to stop that from happening)"
50,"Yes",41,5,1,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",48,"black","4yearColl","$60,001-$80,000","man","Full-time","no comments"
51,"Yes",46,7,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",38,"white","MA","$40,001-$60,000","man","Full-time",""
52,"Yes",29,4,0,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",35,"white","GED","$40,001-$60,000","man","Full-time",""
53,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",""
54,"No",0,2,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",76,"white","2yearColl","$60,001-$80,000","woman","Part-time",""
55,"Yes",26,4,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",38,"white","4yearColl","$20,001-$40,000","man","Full-time",""
56,"Yes",42,5,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",24,"white","GED","$80,001-$100,000","woman","Part-time",""
57,"Yes",29,7,1,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",28,"white","2yearColl","$20,001-$40,000","woman","Part-time",""
58,"Yes",44,6,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",35,"white","2yearColl","$80,001-$100,000","man","Full-time",""
59,"Yes",49,2,1,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",26,"asian","GED","$20,001-$40,000","man","Full-time",""
60,"Yes",42,4,0,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",29,"black","MA","Over $200,000","man","Full-time",""
61,"Yes",38,1,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",28,"white","MA","$60,001-$80,000","woman","Full-time","N/a"
62,"Yes",22,7,1,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",56,"white","4yearColl","$40,001-$60,000","woman","Part-time","fun"
63,"Yes",31,4,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",42,"white","GED","$20,001-$40,000","woman","Full-time",""
64,"Yes",37,2,0,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",32,"white","GED","$40,001-$60,000","woman","Full-time",""
65,"Yes",27,7,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",23,"white","MA","$0-$20,000","woman","Full-time",""
66,"Yes",5,6,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",45,"white","4yearColl","$40,001-$60,000","man","Full-time","GOOD RESEARCH"
67,"Yes",39,6,1,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",55,"white","4yearColl","$60,001-$80,000","man","Full-time",""
68,"Yes",38,6,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",35,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
69,"Yes",44,7,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",25,"hispanic","4yearColl","$40,001-$60,000","woman","Full-time","This survey was interesting."
70,"Yes",34,3,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",47,"white","4yearColl","$160,001-$180,000","woman","Full-time",""
71,"No",0,6,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",29,"asian","4yearColl","$100,001-$120,000","man","Full-time",""
72,"Yes",23,3,1,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",22,"white","GED","$60,001-$80,000","woman","Full-time",""
73,"Yes",41,6,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",36,"white","GED","$80,001-$100,000","woman","Full-time",""
74,"Yes",42,7,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",24,"white","4yearColl","$40,001-$60,000","man","Full-time",""
75,"Yes",27,4,0,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",42,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
76,"Yes",23,2,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",30,"black","GED","$40,001-$60,000","man","Full-time",""
77,"Yes",16,7,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",NA,"white","GED","$20,001-$40,000","woman","Full-time",""
78,"Yes",22,4,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",60,NA,"4yearColl","$20,001-$40,000","woman","Part-time",""
79,"Yes",30,2,1,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",43,"white","MA","$100,001-$120,000","woman","Full-time",""
80,"Yes",26,2,1,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",43,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
81,"Yes",28,2,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",48,"white","MA","$140,001-$160,000","woman","Part-time",""
82,"Yes",31,6,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",49,"white","GED","$20,001-$40,000","man","Full-time",""
83,"Yes",39,7,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",30,"white","4yearColl","Over $200,000","man","Full-time","none"
84,"Yes",33,3,0,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",34,"asian","4yearColl","$140,001-$160,000","woman","Full-time","I enjoyed this survey; although, my eyes were hurting. "
85,"Yes",22,2,0,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",63,"white","GED","$80,001-$100,000","woman","Full-time",""
86,"Yes",25,1,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",27,"hispanic","MA","$60,001-$80,000","woman","Full-time",""
87,"Yes",46,7,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",29,"multiracial","4yearColl","$80,001-$100,000","woman","Full-time",""
88,"Yes",37,2,0,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",52,"white","2yearColl","$20,001-$40,000","man","Part-time",""
89,"Yes",46,6,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",48,"white","2yearColl","$100,001-$120,000","woman","Part-time",""
90,"Yes",3,5,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",34,"white","4yearColl","$40,001-$60,000","woman","Full-time","good"
91,"Yes",44,2,1,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",27,"black",NA,"$0-$20,000","woman","Full-time","What an interesting study!"
92,"Yes",32,5,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",44,"white","4yearColl","$40,001-$60,000","man","Full-time",""
93,"Yes",21,5,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",22,"hispanic","2yearColl","$100,001-$120,000","man","Part-time",""
94,"Yes",14,4,1,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",31,"white","GED","$160,001-$180,000","man","Full-time",""
95,"Yes",2,3,0,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",27,"asian","4yearColl","$80,001-$100,000","man","Full-time",""
96,"Yes",44,4,1,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",18,"hispanic","GED","$40,001-$60,000","man","Full-time",""
97,"No",0,4,1,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",31,"white","GED","$80,001-$100,000","man","Full-time",""
98,"Yes",24,6,1,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",53,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
99,"Yes",29,7,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",44,"white","2yearColl","Over $200,000","woman","Part-time","na"
100,"Yes",0,7,1,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",53,"black","GED","$20,001-$40,000","woman","Part-time",""
101,"Yes",46,5,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",35,"white","GED","$60,001-$80,000","woman","Full-time",""
102,"Yes",36,7,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",30,"hispanic","4yearColl","$100,001-$120,000","woman","Full-time",""
103,"Yes",16,4,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",61,"white","4yearColl","$20,001-$40,000","man","Unemployed",""
104,"Yes",37,5,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",31,"multiracial","4yearColl","$80,001-$100,000","woman","Full-time, Student",""
105,"Yes",8,2,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",32,"white","GED","$40,001-$60,000","man","Full-time",""
106,"Yes",37,4,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",40,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
107,"Yes",18,3,1,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",31,"white","GED","$0-$20,000","woman","Full-time",""
108,"No",0,3,0,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",24,"hispanic","4yearColl","$80,001-$100,000","man","Full-time",""
109,"Yes",31,1,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",49,"white","GED","$160,001-$180,000","man","Full-time, Homemaker",""
110,"Yes",46,4,0,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",34,"white","PHD","$60,001-$80,000","man","Full-time",""
111,"Yes",32,5,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",42,"white","GED","$40,001-$60,000","woman","Full-time",""
112,"Yes",24,6,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",49,"white","2yearColl","$80,001-$100,000","man","Full-time",""
113,"Yes",46,3,0,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",38,"white","4yearColl","$100,001-$120,000","man","Full-time",""
114,"Yes",42,7,1,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",35,"black","4yearColl","$40,001-$60,000","woman","Full-time",""
115,"Yes",40,7,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",38,"black","4yearColl","$60,001-$80,000","man","Full-time","This was a very interesting study. I hope to see more like this!"
116,"Yes",6,4,0,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",48,"hispanic","2yearColl","$60,001-$80,000","woman","Part-time","I realized that the ""task"" was purposefully designed to be almost impossible. I am not spending the time that is necessary to do it correctly. Not for 80 cents (since the bonus is not guaranteed). It's insulting to be honest."
117,"Yes",50,1,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",29,"white","4yearColl","$100,001-$120,000","woman","Part-time",""
118,"Yes",44,2,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",42,"multiracial","GED","$20,001-$40,000","woman","Full-time",""
119,"Yes",44,6,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",26,"white","GED","$80,001-$100,000","woman","Full-time",""
120,"Yes",41,2,1,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",28,"asian","4yearColl","$80,001-$100,000","man","Full-time",""
121,"Yes",48,3,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",33,"white","MA","$60,001-$80,000","woman","Part-time",""
122,"Yes",34,4,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",33,"white","GED","$20,001-$40,000","woman","Full-time",""
123,"Yes",0,5,1,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",44,"white","4yearColl","$40,001-$60,000","man","Full-time",""
124,"Yes",32,6,1,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",42,"white","4yearColl","$40,001-$60,000","woman","Full-time","N/A"
125,"Yes",39,7,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",38,"black","4yearColl","Over $200,000","man","Full-time",""
126,"Yes",42,4,0,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",34,"white","2yearColl","$80,001-$100,000","woman","Full-time",""
