"PID","message_choice","is_dom","CWV","message_aff","message_dom","choice_dom","comp_dom","attitude_dom","choice_aff","comp_aff","attitude_aff","nompred_dom","nompred_aff","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","MID_aff","MID_dom","age","race","edu","income","gender","employment","feedback"
14,"aff",0,3.8,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","do task",48,2,"do task",48,7,0,1,23,31,54,70,80,99,115,133,156,200,6,6,4,2,2,6,2,4,2,4,1,"XT894iw","YI774jh",29,"black","2yearColl","$40,001-$60,000","woman","Full-time",""
15,"dom",1,3.5,"You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","do task",29,5,"do task",25,5,0,1,117,70,83,99,99,80,61,45,35,11,3,5,5,3,3,4,3,3,3,3,1,"TO642sj","MR621vy",39,"asian","MA","Over $200,000","man","Full-time","none"
16,"aff",0,1.4,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",25,4,"do task",35,6,0,1,20,40,60,80,100,120,140,160,180,200,1,1,1,1,1,1,1,1,3,3,1,"TC529xj","WC835pl",37,"white","MA","$140,001-$160,000","woman","Full-time",""
17,"aff",0,2.2,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","do task",50,2,"do task",50,6,0,1,200,200,200,200,200,200,200,200,200,200,2,4,2,1,1,4,2,2,2,2,1,"UD880hg","AB972vt",45,"white","4yearColl","$140,001-$160,000","woman","Full-time",""
18,"aff",0,3.4,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","Reminder those that do not complete the task will not be compensated properly.","skip task",42,3,"do task",50,5,0,1,4,21,22,30,30,30,42,42,42,100,4,3,4,3,3,5,3,3,3,3,1,"TC529xj","OL009mq",68,"white","GED","$40,001-$60,000","woman","Full-time",""
19,"dom",1,3.3,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","do task",40,3,"skip task",28,4,1,1,10,10,25,50,75,100,125,150,175,200,5,5,5,1,4,6,2,1,1,3,1,"YF438np","GV333wu",44,"white","4yearColl","Over $200,000","woman","Full-time","none"
20,"aff",0,1.6,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",38,5,"do task",38,5,0,1,94,14,18,19,12,10,7,12,10,8,1,1,1,1,1,7,1,1,1,1,1,"TC529xj","LB941bt",56,"white","GED","$120,001-$140,000","man","Full-time",""
21,"aff",0,1.3,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","skip task",49,2,"do task",50,7,0,1,0,0,0,0,0,0,0,18,33,200,1,1,1,1,1,2,1,1,1,3,1,"KF800kz","KJ482kw",51,"white","GED","$60,001-$80,000","woman","Full-time",""
22,"aff",0,3.9,"Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","skip task",21,2,"do task",41,5,0,1,0,0,20,50,60,72,83,105,156,200,5,5,5,3,2,6,3,2,3,5,1,"LW745iy","PT099gj",18,"white","GED","$60,001-$80,000","man","Part-time","none thank you guys"
23,"aff",0,1.8,"Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","do task",40,1,"do task",45,6,0,1,100,150,200,200,200,200,200,200,200,200,1,2,2,1,1,5,1,1,2,2,1,"HJ188qx","PT099gj",42,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
24,"aff",0,3.4,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","Reminder those that do not complete the task will not be compensated properly.","do task",20,6,"do task",30,6,1,1,200,200,200,200,200,200,200,200,200,200,3,5,3,3,3,5,3,3,3,3,1,"PA168kd","OL009mq",27,"white","4yearColl","$60,001-$80,000","man","Full-time",""
25,"aff",0,2.8,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",45,3,"do task",45,6,0,1,14,48,77,85,95,104,108,118,178,200,4,4,4,3,1,3,2,1,2,4,1,"VD105li","XW406gb",25,"white","MA","$60,001-$80,000","woman","Full-time",""
26,"aff",0,4.3,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","skip task",18,2,"do task",30,6,0,1,0,0,15,50,80,110,140,175,200,200,7,5,4,5,3,5,4,1,4,5,1,"UD880hg","AB972vt",24,"white","4yearColl","Over $200,000","man","Student",""
27,"aff",0,2.5,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","do task",25,2,"do task",40,5,0,1,20,40,60,80,100,120,140,160,180,200,2,2,2,3,3,3,2,2,3,3,1,"UD880hg","JI806xu",47,"white","MA","$60,001-$80,000","woman","Full-time",""
28,"aff",0,1.9,"I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!","Reminder those that do not complete the task will not be compensated properly.","do task",25,1,"do task",50,7,0,1,200,200,200,200,200,200,200,200,200,200,2,2,3,1,2,3,1,1,3,1,1,"OA261ld","OL009mq",46,"hispanic","GED","$40,001-$60,000","woman","Full-time",""
29,"aff",0,3.2,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",31,3,"do task",49,6,1,1,6,10,29,36,52,94,109,145,167,200,3,2,2,5,4,5,2,2,4,3,1,"RA103dx","LB941bt",31,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
30,"aff",0,3.6,"I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",3,1,"do task",45,7,0,1,4,6,15,20,22,31,31,40,44,50,2,6,2,2,2,2,6,2,6,6,1,"OA261ld","XD206yn",34,"hispanic","4yearColl","$40,001-$60,000","man","Full-time",""
31,"aff",0,3.7,"This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","skip task",20,2,"do task",40,6,0,1,49,72,95,95,165,168,180,190,196,200,5,4,4,5,4,5,2,3,2,3,1,"VM414kq","MR621vy",29,"white","GED","$40,001-$60,000","man","Full-time",""
32,"aff",0,2.4,"I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","do task",26,2,"do task",50,7,0,1,19,39,59,78,101,120,146,171,187,200,5,1,2,1,2,3,1,2,1,6,1,"VQ327uf","XD206yn",29,"white","4yearColl","Over $200,000","woman","Full-time",""
33,"aff",0,2.8,"Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","do task",47,2,"do task",48,6,0,1,49,73,91,104,121,129,144,175,192,200,3,3,2,3,2,5,2,3,2,3,1,"LW745iy","JI806xu",38,"white","4yearColl","$120,001-$140,000","woman","Full-time",""
34,"aff",0,2.7,"Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","skip task",40,3,"do task",50,7,0,1,0,0,50,60,70,80,100,140,180,200,3,3,2,5,1,3,1,1,4,4,1,"HJ188qx","PT099gj",26,"white","4yearColl","$100,001-$120,000","man","Full-time",""
35,"aff",0,2.1,"Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","skip task",49,2,"do task",50,6,0,1,0,40,60,140,150,160,170,180,190,200,3,2,1,1,2,4,1,2,2,3,1,"BA092or","GJ795ld",49,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
36,"aff",0,2.2,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","skip task",16,1,"do task",30,5,0,1,25,50,55,60,65,70,75,85,90,135,4,1,1,4,1,4,1,1,1,4,1,"PA168kd","ZC801er",31,"hispanic","2yearColl","$80,001-$100,000","woman","Part-time",""
37,"aff",0,2.2,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","do task",35,6,"do task",35,6,0,1,150,150,150,150,165,165,165,200,200,200,4,2,1,1,2,6,2,1,1,2,1,"RA103dx","GJ795ld",44,"white","GED","$120,001-$140,000","man","Full-time",""
38,"aff",0,2.8,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","skip task",30,2,"do task",40,5,0,1,0,0,100,100,175,175,175,175,200,200,4,4,1,5,1,5,1,1,3,3,1,"YF438np","YI774jh",33,"white","2yearColl","$80,001-$100,000","man","Part-time",""
39,"aff",0,1,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","skip task",4,1,"do task",20,5,0,1,200,200,200,200,200,200,200,200,200,200,1,1,1,1,1,1,1,1,1,1,1,"JV696yc","MR621vy",61,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
40,"aff",0,3.9,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",18,1,"do task",38,6,0,1,20,40,60,80,100,120,140,160,180,200,5,4,3,3,5,5,3,2,4,5,1,"SM837hk","WC835pl",36,"white","GED","$60,001-$80,000","woman","Part-time",""
41,"aff",0,3.2,"Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!","Reminder those that do not complete the task will not be compensated properly.","do task",40,5,"do task",40,4,0,0,5,10,24,50,68,87,115,133,152,167,5,2,2,4,1,5,3,5,3,2,1,"EP725gv","OL009mq",35,"hispanic","4yearColl","$20,001-$40,000","man","Full-time",""
42,"aff",0,2.6,"Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",25,1,"do task",43,6,0,1,20,40,60,80,100,120,140,160,180,200,4,2,3,2,2,4,2,2,2,3,1,"BD990bc","XD206yn",30,"white","MA","$60,001-$80,000","woman","Full-time",""
43,"aff",0,3.3,"Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","skip task",17,3,"do task",42,6,0,1,8,17,20,39,65,92,122,151,172,200,3,3,2,3,5,6,2,5,2,2,1,"BA092or","GV333wu",29,"white","GED","$60,001-$80,000","man","Full-time",""
44,"aff",0,1.8,"Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","skip task",31,2,"do task",44,7,0,1,37,103,73,141,132,120,102,110,97,82,3,2,1,1,1,2,2,1,2,3,1,"BA092or","GV333wu",37,"white","4yearColl","$100,001-$120,000","woman","Full-time","No"
45,"aff",0,1.8,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","skip task",41,1,"do task",43,5,0,1,20,40,60,80,100,120,140,160,180,200,2,2,1,2,1,2,2,1,2,3,1,"UD880hg","MR621vy",45,"white","4yearColl","$100,001-$120,000","man","Full-time",""
46,"aff",0,2.2,"Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","skip task",25,3,"do task",35,7,0,1,0,20,20,20,35,35,100,125,150,200,2,2,1,3,2,3,2,1,3,3,1,"HJ188qx","JI806xu",36,"black","PHD","$140,001-$160,000","woman","Full-time",""
47,"aff",0,3.1,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","skip task",20,2,"do task",50,6,0,1,200,200,200,200,200,200,200,200,200,200,4,6,2,3,2,4,3,2,3,2,1,"RA103dx","ZC801er",24,"white","GED","$40,001-$60,000","man","Full-time",""
48,"aff",0,2.8,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","do task",30,1,"do task",46,6,0,1,0,16,30,103,130,145,161,170,185,200,5,2,1,3,3,3,3,2,3,3,1,"TC529xj","KJ482kw",23,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
49,"aff",0,3.6,"I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","skip task",45,2,"do task",42,6,0,1,29,38,52,71,96,117,133,151,171,200,2,7,4,3,3,7,2,3,2,3,1,"DV618ch","LC320iz",20,"white","GED","Over $200,000","man","Student",""
50,"aff",0,2.9,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","skip task",40,1,"do task",30,6,0,1,20,40,60,80,100,120,140,160,180,200,5,2,1,3,5,6,2,1,1,3,1,"KF800kz","YI774jh",39,NA,"MA",NA,"woman","Full-time",""
51,"aff",0,2.7,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","Reminder those that do not complete the task will not be compensated properly.","do task",20,1,"skip task",50,7,0,1,200,200,200,200,200,200,200,200,200,200,4,4,1,4,3,3,1,1,3,3,1,"XT894iw","OL009mq",31,"black","4yearColl","$40,001-$60,000","woman","Full-time",""
52,"aff",0,2.6,"I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",20,3,"do task",35,5,0,0,20,40,60,80,100,120,140,160,180,200,2,3,2,3,3,1,3,1,6,2,1,"DV618ch","WC835pl",31,"multiracial","2yearColl","$20,001-$40,000","woman","Part-time",""
53,"aff",0,2.7,"Whether you do well or not, I appreciate your hard work at this company and will continue to support you.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","do task",25,2,"do task",40,6,0,1,138,144,145,152,165,167,175,179,186,200,5,2,2,2,3,5,1,2,2,3,1,"HU074mk","GV333wu",34,"white","MA","$140,001-$160,000","woman","Part-time",""
54,"aff",0,2,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","skip task",15,2,"do task",25,7,0,1,25,44,75,100,125,160,170,180,200,200,1,4,1,1,1,4,2,1,1,4,1,"VD105li","ZC801er",40,"white","GED","$20,001-$40,000","woman","Full-time",""
55,"aff",0,3.8,"Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","do task",20,2,"do task",34,5,1,1,10,25,25,40,60,75,90,130,150,190,6,5,2,4,2,5,5,3,3,3,1,"AC528ed","AB972vt",35,"white","4yearColl","$60,001-$80,000","man","Full-time",""
56,"aff",0,1.4,"You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","skip task",25,1,"do task",50,7,0,1,100,110,110,113,120,126,130,150,170,200,3,1,1,1,1,3,1,1,1,1,1,"TO642sj","KJ482kw",25,"black","GED","$20,001-$40,000","woman","Part-time","The survey was quite good and easy to understand. Thank you."
57,"aff",0,2.4,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",25,3,"do task",45,6,0,1,50,50,50,50,50,100,100,100,150,200,3,3,3,2,1,4,2,1,2,3,1,"SM837hk","LB941bt",41,"black","4yearColl","$180,001-$200,000","man","Full-time",""
