"PID","cond","reflection","choicedom","message_choice","pref_cont","CWV","pred_choice","pred_comp","pred_att","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","att_2","is_elg","age","race","edu","income","gender","employment","feedback"
12,"neg","They might feel that they are being pressured and would not want to do their best",0,"nondom",2,3.5,"skip",30,5,8,14,20,24,30,34,40,47,53,53,3,4,2,3,4,3,5,2,5,4,1,1,1,42,"white","4yearColl","$100,001-$120,000","woman","Full-time",""
13,"pos","The employee would feel motivated to achieve the bonus and feel like they have some ownership over their ability to earn more money.",1,"dom",5,1.5,"do",50,6,60,70,80,90,100,100,100,100,100,100,2,1,1,2,1,1,1,1,3,2,1,1,1,NA,"white","4yearColl","$140,001-$160,000","woman","Full-time",""
14,"pos","The employee might positively see the upcoming bonus as incentive for doing a good and thorough job. They could consider teamwork and that if they look out for their boss, their boss will also look out for them.",1,"dom",4,1.1,"do",45,7,25,25,50,50,50,50,75,75,75,100,2,1,1,1,1,1,1,1,1,1,1,1,1,34,"multiracial","GED","$60,001-$80,000","woman","Full-time",""
15,"neg","They might feel pressured and resentful, they could take the message as a threat rather than encouragement. This could make them feel demotivated and viewing the manager as overly demanding. They might feel as if they're focused only on their own bonus, potentially damaging the trust and relationship between them.",0,"nondom",1,1.4,"do",25,2,0,10,20,30,40,50,65,80,90,100,2,1,1,1,1,2,1,1,2,2,1,1,1,39,NA,"GED","$100,001-$120,000","man","Full-time",""
16,"neg","They could view this message as negative because it seems more like a demand. ",0,"nondom",2,4.5,"do",26,5,5,10,16,20,25,30,35,40,45,50,5,6,4,4,2,5,4,4,5,6,1,1,1,37,NA,NA,NA,"woman","Full-time",""
17,"pos","This message would impact the employee negatively because it’s a very aggressive message. It comes off as a threat as in “do well or you don’t get paid”. I think a better approach is to encourage them rather than threaten. ",0,"nondom",1,3.6,"do",44,5,5,15,30,36,43,55,62,71,81,100,4,3,3,3,5,5,3,1,4,5,1,1,1,NA,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
18,"pos","I would think that the positive aspect is telling them that they should do their best. That's encouraging. ",0,"nondom",1,3.4,"do",44,6,10,20,30,40,50,60,70,80,90,100,6,5,1,5,3,7,2,1,2,2,1,1,1,42,"white","GED","$40,001-$60,000","man","Full-time",""
19,"neg","The employee may see this as unfriendly and an ultimatum.  Rather than focusing on success this seems more like a threat. ",0,"nondom",2,3.1,"do",45,6,0,0,13,20,25,32,53,67,84,100,4,6,2,2,1,3,2,3,4,4,1,1,1,43,"white","4yearColl","$80,001-$100,000","man","Full-time",""
20,"pos","They feel positive about being encouraged to do their best and the possibility of a bonus.",1,"dom",5,2.4,"do",50,6,10,20,28,35,43,52,62,73,84,100,2,2,1,3,2,1,2,2,6,3,1,1,1,45,"multiracial","4yearColl","$40,001-$60,000","man","Full-time",""
21,"pos","The employee would have a positive reaction to knowing the manager has confidence in them, and that they have the potential to earn a bonus.",0,"nondom",2,2.7,"do",25,3,0,0,0,50,50,100,100,100,100,100,5,3,2,2,3,5,2,1,1,3,1,1,1,36,"white","GED","$60,001-$80,000","man","Part-time",""
22,"neg","It's using negative reinforcement - this is the punishment for not doing it well.",0,"nondom",1,2.1,"skip",40,3,10,20,30,40,50,60,70,80,90,100,3,4,2,1,2,2,1,2,2,2,1,1,1,27,NA,"2yearColl","$120,001-$140,000","man","Full-time",""
23,"neg","This message emphasizes what is at stake to be lost and can be felt like a threat.",0,"nondom",1,2.2,"do",30,2,100,100,100,100,100,100,100,100,100,100,4,1,2,1,2,2,2,1,3,4,1,1,1,30,"white","PHD","$40,001-$60,000","woman","Full-time",""
24,"neg","They might have a negative opinion about their manager taking away a bonus from them and that they are being controlled and punished.",1,"dom",4,3.1,"do",40,3,10,20,30,40,50,60,70,80,90,100,3,3,4,3,3,4,4,2,2,3,1,1,1,28,"white","4yearColl","$120,001-$140,000","man","Full-time",""
25,"neg","They might think that the manager is kind of rude and not very cordial. Although the manager is just telling the truth, it could have come across a bit friendlier.",1,"dom",5,3.9,"do",35,3,0,0,10,25,25,25,40,40,50,75,6,5,3,5,3,6,2,2,2,5,1,1,1,25,"white","4yearColl","$140,001-$160,000","man","Full-time",""
26,"neg","negative thoughts focus on not getting the full bonus, and focus on not performing well.",0,"nondom",2,2.1,"skip",30,5,13,22,33,45,56,69,80,87,96,100,5,2,3,1,1,3,1,2,2,1,1,1,1,44,"white","GED","$20,001-$40,000","woman","Part-time",""
27,"pos","They think the manager is the best at makeing sure their job goes easy and efficient.",0,"nondom",1,1.9,"do",50,7,100,100,100,100,100,100,100,100,100,100,1,3,1,1,1,6,1,1,1,3,1,1,1,40,"black","4yearColl","$120,001-$140,000","woman","Full-time",""
28,"pos","I think it seems to be slightly motivating.  I think this may get the person to give it their all.",1,"dom",4,2.1,"do",35,4,8,13,31,49,63,73,79,84,89,100,1,2,1,2,2,2,3,2,3,3,1,1,1,36,"white","MA","$120,001-$140,000","man","Full-time","I thought it was a great study!"
29,"pos","We start by affirming the employee knows the task at hand suggesting there is confidence in their ability to perform the task successfully. ",1,"dom",4,3.2,"do",50,5,100,100,100,90,90,80,80,80,80,80,5,3,3,2,3,3,3,3,3,4,1,1,1,45,"asian","4yearColl","$80,001-$100,000","man","Full-time",""
30,"pos","the employee might feel negative because this message is almost degrading like knowing what to do and they might not know what to do with this description its mainly focused on getting the bonus",0,"nondom",1,2.9,"do",39,7,20,29,32,21,21,12,12,9,11,14,5,2,2,2,2,4,2,2,2,6,1,1,1,30,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
31,"pos","They will know they will be rewarded for their hard work. I think with this incentive they will do really well in the task.",1,"dom",6,2,"do",45,6,10,20,30,40,50,60,70,80,90,100,2,2,2,2,2,2,2,2,2,2,1,1,1,52,"white","2yearColl","$60,001-$80,000","man","Full-time",""
32,"neg","The message appears single minded. It lacks compassion and motivation. The message appears like the manager wants the employee to perform well for the manager's montary gains. This may decrease moral. ",0,"nondom",1,2.9,"do",36,6,20,31,42,52,64,72,77,85,93,97,3,3,3,3,3,2,3,4,2,3,1,1,1,38,"asian","4yearColl","$140,001-$160,000","woman","Full-time",""
33,"neg","It is a little threatening by noting what will happen if they don't do well.  It also is a little vague in terms of what doing well is. ",0,"nondom",3,2.1,"do",40,5,0,0,0,0,25,50,60,70,80,100,2,2,1,3,2,2,2,2,3,2,1,1,1,31,"white","4yearColl","Over $200,000","woman","Full-time",""
34,"neg","It might create negative feelings because it seems a bit curt and not very encouraging.",0,"nondom",2,2.8,"do",34,3,10,11,11,21,29,31,35,51,78,100,3,3,2,2,2,5,3,2,3,3,1,1,1,35,"white","MA","$100,001-$120,000","woman","Full-time",""
35,"neg","It doesn't really create an incentive or give encouragement. It seems more threatening.",0,"nondom",1,2.5,"skip",26,2,10,20,30,40,50,60,70,80,90,100,4,2,3,2,2,5,1,1,2,3,1,1,1,40,"hispanic","MA","$40,001-$60,000","man","Full-time",""
36,"neg","They didn't fully motivate the employee in order to do their best.",0,"nondom",2,4,"do",35,6,9,17,20,36,54,62,74,77,64,56,6,2,6,6,2,6,2,6,2,2,0,1,0,30,"white","4yearColl","$60,001-$80,000","man","Full-time",""
37,"pos","The employee may see this as a welcome challenge. Hopefully they would be incentivized to work toward getting the full bonus and doing their best!",1,"dom",4,3.1,"do",44,5,20,28,39,47,56,64,73,82,89,100,3,4,2,2,2,4,3,1,4,6,1,1,1,33,"multiracial","MA","$20,001-$40,000","woman","Full-time",""
38,"neg","The message shows pressure on the employee to do well or have a negative repercussion of not receiving the bonus. The employee doesn't want to be reminded of the negative consequences. A manager should give positive encouragement.",0,"nondom",1,1.1,"skip",40,1,10,20,30,40,50,60,70,80,90,100,1,1,1,1,1,1,1,1,2,1,1,1,1,46,"white","4yearColl","$60,001-$80,000","man","Unemployed",""
39,"neg","The tone of the message may come across as threatening, which means the employee will feel pressured and it sets a potentially negative mindset for the task at hand. This negative mindset may also manifest into negative feelings about the manager, creating a negative relationship, albeit unintentionally.",1,"dom",4,2.7,"do",30,3,5,10,15,20,25,30,35,40,50,100,5,3,3,2,2,4,2,2,2,2,1,1,1,44,"hispanic","4yearColl","$40,001-$60,000","man","Full-time",""
40,"pos","The employee might feel a bit more motivated knowing that there is a potential bonus involved. They might also feel that their manager sees value in them for assigning them this task in the first place.",0,"nondom",3,4.1,"do",50,5,10,15,15,30,30,30,40,60,70,80,5,3,5,4,2,5,4,3,4,6,1,1,1,41,"white","2yearColl","$20,001-$40,000","man","Full-time",""
41,"neg","The message can sound a little threatening because the bonus will be withheld if they dont do good ",0,"nondom",3,3.9,"do",40,3,30,49,60,70,70,80,90,100,100,100,5,5,3,3,2,5,5,2,6,3,1,1,1,32,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
42,"pos","The message conveys a sense of trust in the employee - ""time to get in there and do your absolute best"" would make the employee feel as if the manager specifically selected them for this task based on their skillset. ",0,"nondom",3,3.4,"do",40,5,0,0,0,10,25,50,75,90,100,100,3,4,2,5,3,4,4,2,5,2,1,1,1,30,"white","4yearColl","$140,001-$160,000","man","Full-time","Was the ""favorite color"" question an attention check? I honestly don't remember any instructions that would have been related to it... "
43,"neg","The employee would have a negative attitude because the statement mentions how compensation is tied to performance. Instead of leaving that out, if the employee does not receive the full bonus they know that the manager is unsatisfied with their job performance.",0,"nondom",1,2.5,"do",45,2,10,20,30,40,50,60,70,80,90,100,5,5,1,1,2,5,1,1,1,3,1,1,1,19,"white","GED","Over $200,000","man","Full-time",""
44,"pos","While the message may seem curt, in truth, the manager is not being critical or mean. By presenting the scenario honestly, they are providing me with the knowledge I need to win, and expressing our shared motivations for the company to succeed.",1,"dom",5,1.3,"do",40,5,5,10,10,15,20,20,25,45,75,100,1,1,1,1,1,1,1,1,2,3,1,1,1,39,"white","MA","$40,001-$60,000","man","Full-time",""
45,"pos","The above message hints that you (the boss) are the one who can withhold a bonus for completing the task correctly",0,"nondom",3,1.8,"do",40,5,10,20,25,36,49,60,70,76,87,100,1,2,1,1,1,4,2,1,2,3,1,1,1,30,"white","4yearColl","$20,001-$40,000","woman","Full-time",""
46,"neg","I feel as though my manager uses fear or threats to encourage me to do my job. I’d prefer if they would have a friendlier relationship with me.",0,"nondom",1,2.9,"skip",28,2,0,0,0,0,0,0,0,22,67,100,4,2,3,3,2,3,3,2,4,3,1,1,1,27,"white","PHD","Over $200,000","woman","Full-time",""
47,"neg","They could take offense to some of the wording such as now i now the task at hand but i could be a little discouraged if i don't know many of the shapes. ",0,"nondom",1,2.1,"do",39,5,6,18,19,24,30,36,42,59,73,93,1,3,1,2,1,4,1,4,1,3,1,1,1,30,"white","GED","$0-$20,000","woman","Full-time",""
48,"pos","I think positively the employee would think it's nice that the manager is so encouraging. ",0,"nondom",1,2.9,"skip",15,1,100,100,100,100,100,100,100,100,100,100,3,2,2,2,2,5,3,2,3,5,1,1,1,29,"asian","4yearColl","$60,001-$80,000","woman","Full-time",""
49,"neg","This is not an encouraging message and could easily turn off a lot of employees. It also does not explain the task - it just says by now you know the task. I like how there was a summary in the other message.",0,"nondom",1,2.5,"do",10,2,5,10,20,25,40,45,50,65,85,100,2,4,2,1,2,4,2,1,2,5,1,1,1,35,"white","4yearColl","Over $200,000","woman","Full-time",""
50,"pos","The message above will likely not give a positive reaction from the employee. The message is a bit demanding, and threatens rather than directs. ",1,"dom",5,2.9,"do",31,3,20,35,50,100,100,100,100,100,100,100,6,3,2,2,2,4,2,3,3,2,1,1,1,23,"asian","4yearColl","$40,001-$60,000","man","Part-time",""
51,"neg","People have different strengths and weaknesses. Not everyone will excel at this activity.",0,"nondom",3,2.1,"do",35,5,10,21,32,45,53,66,73,82,93,100,3,2,2,2,1,3,1,2,3,2,1,1,1,33,"white","4yearColl","$80,001-$100,000","man","Full-time",""
52,"neg","This is a much more heavy-handed approach. It is not encouraging. It offers the incentive but without taking into account the employee's general willingness to perform well.",0,"nondom",2,2.1,"do",40,3,20,30,40,50,60,70,80,90,95,100,2,2,1,2,2,2,3,2,3,2,1,1,1,45,"white","4yearColl","$80,001-$100,000","man","Full-time",""
53,"neg","The employee could feel pressured or not valued. And see the message as more of a demand, not encouragement. This can negatively effect morale or motivation.",0,"nondom",3,3.4,"skip",40,2,10,20,30,40,50,60,70,80,90,100,5,4,2,4,2,5,2,3,3,4,1,1,1,21,"multiracial","GED","$120,001-$140,000","man","Full-time",""
54,"pos","The message is encouraging, but also sets a firm standard, which most people would respond positively to",0,"nondom",1,2.7,"do",30,6,0,0,10,16,24,36,53,64,87,100,2,3,3,2,2,3,3,2,3,4,1,1,1,NA,"white","4yearColl","$40,001-$60,000","man","Full-time",""
55,"pos","The tone of a message will describe the attitude used to complete a given task",0,"nondom",1,1.7,"skip",8,2,21,30,40,52,65,71,76,82,87,100,5,1,1,1,1,4,1,1,1,1,1,1,1,26,"black","MA","$120,001-$140,000","woman","Full-time",""
56,"pos","There would want to earn the bonus and look at it as a challenge and want to compete",0,"nondom",1,2.8,"do",40,7,10,15,20,25,30,30,30,50,60,100,2,1,7,5,1,5,1,3,2,1,1,1,1,36,"black","4yearColl","$40,001-$60,000","man","Full-time",""
57,"neg","They could feel like they are being coerced to do something that does not really matter. It might feel like a hostile managerial dynamic.",1,"dom",4,3.9,"do",32,3,0,0,25,40,60,80,100,100,100,100,5,2,4,5,3,5,2,3,5,5,1,1,1,22,"white","4yearColl","$60,001-$80,000","man","Full-time",""
58,"neg","It may come across as a bit strident in tone. It may make them anxious that they won't do well on it. ",0,"nondom",3,1.6,"do",45,5,10,20,30,40,50,60,70,80,90,100,1,2,1,1,1,1,1,1,5,2,1,1,1,61,"white","GED","$60,001-$80,000","woman","Part-time",""
59,"pos","The positive thought is that if the employee do well, they'll get a bonus. Having the possibility to receive a bonus can be motivation for doing well.",0,"nondom",2,2.8,"do",36,2,5,10,15,25,40,60,70,80,90,100,4,2,3,3,3,4,2,3,2,2,1,1,1,32,"asian","MA","$100,001-$120,000","woman","Full-time",""
60,"neg","Knowing that their performance can affect the bonus might come off as negative and that if they do not do well then they do not deserve a bonus for their hard work. ",0,"nondom",3,2.4,"do",40,3,20,20,50,50,75,75,90,90,100,100,3,2,2,1,3,5,2,1,2,3,1,1,1,36,"white","4yearColl","Over $200,000","woman","Full-time",""
61,"pos","I feel they would be encouraged to do their hardest, and to not let the manager down. By doing their best and pushing forward to make sure they get that full bonus.",0,"nondom",2,3.4,"do",40,3,100,100,100,100,100,100,100,100,100,100,4,3,3,2,3,5,3,5,3,3,1,1,1,38,"white","2yearColl","$100,001-$120,000","woman","Homemaker",""
62,"pos","They may be motivated by the bonus. This prompt emphasizes the appeal of the bonus and the opportunity to get more money. ",0,"nondom",2,3.1,"do",30,4,50,50,50,60,70,75,80,85,90,100,3,3,2,3,3,4,3,3,2,5,1,1,1,32,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
63,"neg","I think this has a threatening tone which will not inspire the employee. They will go into the assignment feeling pressured rather than encouraged and inspired. You have to build up an employee's self esteem and confidence so they can do their best.",0,"nondom",1,2,"skip",29,2,21,38,47,56,67,76,80,75,53,37,2,2,1,1,2,1,4,1,3,3,1,1,1,58,"white","4yearColl","$180,001-$200,000","woman","Part-time",""
64,"pos","Even though the message is a bit more stern, there is encouragement (e.g., ""do your absolute best""). Also, by saying ""by now you know the task at hand"" the employee may think that the manager trusts them implicitly.",0,"nondom",1,2,"do",40,3,10,20,30,40,50,60,70,80,90,100,5,1,1,2,1,1,1,1,2,5,1,1,1,32,"white","MA","Over $200,000","man","Full-time",""
65,"pos","The person could feel positively that the manager is so direct and straight-forward. They could also feel positively about the bonus they could earn.",1,"dom",4,3.2,"do",39,5,100,100,100,100,100,100,100,100,100,100,6,2,1,5,2,5,1,1,3,6,1,1,1,29,"white","GED","$20,001-$40,000","man","Full-time, Student",""
66,"neg","The task requires pressure to be put on the participants.  This pressure might make them feel uneasy/uncomfortable",0,"nondom",1,2.8,"skip",15,2,43,42,41,43,44,43,29,31,31,31,7,3,1,2,1,5,3,2,2,2,1,1,1,50,"white","PHD","$100,001-$120,000","man","Full-time","none"
67,"pos","The employee would believe that the manager has full faith in their skillset and maturity, to the point where explanations are not necessary. ",0,"nondom",1,4,"do",45,6,10,20,30,40,50,60,70,90,100,100,5,6,6,5,2,6,3,1,3,3,1,1,1,24,"asian","4yearColl","$0-$20,000","woman","Full-time",""
68,"pos","The worker might be motivated by the promise of the bonus and will want to do well",1,"dom",5,2.3,"do",40,5,5,20,30,40,50,55,65,75,85,100,2,3,2,2,3,3,1,2,2,3,1,1,1,46,"hispanic","4yearColl","$100,001-$120,000","man","Full-time",""
69,"pos","This may have a positive effect as it shows the manager is focused on them being able to maximize their income.",0,"nondom",1,2.2,"do",33,2,30,35,40,45,50,60,70,80,90,100,3,2,1,3,1,5,1,1,2,3,1,1,1,25,"white","4yearColl","$60,001-$80,000","woman","Part-time",""
70,"pos","It sounds like they believe in the employees ability to do a good job because they say time to get in there and do your absolute best.",0,"nondom",2,1.3,"do",40,6,11,19,30,40,50,60,70,80,90,100,1,1,1,1,1,2,1,1,1,3,1,1,1,42,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
71,"neg","The manager is setting up the employee for failure.  There is pressure put on that will negatively affect the employee when they do not complete it or do well.  The employee could start the task with anxiety. ",0,"nondom",1,2.1,"skip",25,2,10,20,30,40,50,60,70,80,90,100,4,3,1,1,2,5,1,1,1,2,1,1,1,68,"white","MA","$40,001-$60,000","woman","Full-time",""
72,"neg","The way the statement is phrased ends negatively. It makes it sound like it would be a punishment to not receive the bonus.",0,"nondom",3,2.1,"do",25,3,25,50,50,50,50,50,75,75,100,100,2,2,1,1,2,5,2,1,2,3,1,1,1,51,"white","MA","$20,001-$40,000","woman","Part-time",""
73,"pos","This message could be construed as trust in the employee. ""it is time to get in here and do your absolute best..."" could be seen as supportive. ",0,"nondom",1,3.1,"do",25,3,10,20,30,40,50,60,70,80,90,100,3,5,2,4,4,5,3,1,2,2,1,1,1,25,"white","4yearColl","$40,001-$60,000","man","Full-time",""
74,"pos","The employee will realize that there's a bonus involved and that they will get more of the bonus if they do well.  Even if they don't, it's implied they will get some of the bonus.",1,"dom",5,2.6,"do",40,6,10,20,30,40,50,60,70,80,90,100,4,2,2,2,2,4,2,2,3,3,1,1,1,48,"white","MA","$80,001-$100,000","woman","Full-time",""
75,"pos","It is positive because telling everyone to try their best means everyone has the best chance to get their respective bonus. ",1,"dom",4,1.2,"do",30,4,10,30,50,60,75,100,100,100,100,100,1,1,1,1,1,1,1,1,2,2,1,1,1,32,"white","GED","$40,001-$60,000","woman","Full-time",""
76,"neg","This message is aggressive and sends an underlying message that the other person is only there to bring income to the sender of the message.",0,"nondom",1,2.2,"skip",40,2,10,20,30,40,50,60,70,80,90,100,4,2,2,1,2,2,2,1,2,4,1,1,1,58,"black","2yearColl","$20,001-$40,000","man","Full-time",""
77,"pos","I think the employee will have a positive reaction to the message because it's very straight-forward but in a respectful way.",0,"nondom",1,2.7,"do",50,7,5,10,15,20,25,30,35,40,45,50,5,2,2,2,2,5,2,2,1,4,1,1,1,25,"black","2yearColl","$40,001-$60,000","woman","Full-time",""
78,"pos","An employee may be motivated by this message. Thinking if they will do well, they will win the favor of their manager.",0,"nondom",1,2.4,"do",50,6,10,20,30,40,50,60,70,80,90,100,5,2,1,2,1,5,1,2,2,3,1,1,1,51,"hispanic","MA","$60,001-$80,000","woman","Full-time",""
79,"pos","The employee may have a positive reaction to this message by being motivated by it to do the absolute best job that they can because of the financial incentive for doing so. ",1,"dom",4,3,"skip",45,4,100,0,0,0,0,0,0,0,0,0,5,3,2,2,1,4,3,1,3,6,1,1,1,26,"white","GED","$40,001-$60,000","woman","Full-time",""
80,"neg","They might worry they are not doing a good job and just give up. They might think that the manager is not concerned about them personally. ",1,"dom",5,4,"do",40,4,0,50,50,75,75,92,93,100,100,100,5,5,3,3,4,6,3,3,5,3,1,1,1,45,"white","MA","$80,001-$100,000","woman","Full-time",""
81,"neg","They could (and should) perceive this message as a threat. They will not want to help the manager for the manager's sake and may be inclined to do poorly or not put in effort just for the sake of spiting them. ",0,"nondom",1,3.1,"skip",40,5,100,100,100,100,100,100,100,100,100,100,4,3,1,2,6,3,3,2,2,5,1,1,1,26,"white","4yearColl","$80,001-$100,000","man","Full-time",""
82,"pos","I would say a positive thought Ive had with a manager was receiving praise for my good work. ",0,"nondom",2,3.8,"do",30,5,12,17,23,26,31,15,8,1,1,1,5,4,5,4,3,4,4,4,2,3,1,1,1,33,"asian","MA","$60,001-$80,000","woman","Full-time",""
83,"pos","You already know the task at hand. It would be great to get in there and do your best so that you win the highest bonus. You won't win a bonus if you don't do it well though...so get going!",0,"nondom",1,1.3,"do",40,6,0,0,20,20,50,50,80,80,100,100,1,1,1,1,1,4,1,1,1,1,1,1,1,71,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
84,"neg","It's giving them the perception of a lack of confidence from the manager. Including, ""And do it well"" may reduce the employees confidence and immediately put them in a poor headspace for the task.",0,"nondom",2,1.4,"do",50,6,5,10,15,20,25,30,35,40,45,50,2,2,1,1,1,2,1,1,1,2,1,1,1,30,"white","4yearColl","$160,001-$180,000","man","Full-time",""
85,"neg","The message seems slightly harsh and cold. Telling them their bonus is depends on completion and doing well adds extra pressure that is really not necessary. The idea is always to complete the task and do well, so this goes without saying.",0,"nondom",1,1.5,"do",30,3,100,100,100,100,100,100,100,100,100,100,1,1,2,1,1,1,2,2,2,2,1,1,1,37,"white","GED","$160,001-$180,000","man","Full-time",""
86,"neg","The employee doesnt get the bonus. They probably don't want to work hard for their manager.",0,"nondom",1,3.9,"do",38,7,20,27,33,39,49,59,67,72,81,100,7,1,6,7,1,5,3,6,1,2,1,1,1,27,"white","4yearColl","$40,001-$60,000",NA,"Full-time",""
87,"pos","straight-forward, accountable, and direct. let's the employee know the responsibility is in their hands",0,"nondom",1,3.5,"do",50,4,50,50,50,50,100,100,100,100,100,100,5,3,2,6,1,6,1,3,2,6,1,1,1,52,"white","2yearColl","$20,001-$40,000","man","Full-time",""
88,"pos","This message is a direct call to action with a trailing consequence. It begins with a ""pump up"" calling for the employee to do their best. In my opinion, being direct is a positive thing. However I would recommend framing in what is possible rather than what won't happen. ",0,"nondom",3,2.9,"do",35,5,65,70,75,80,85,90,100,100,100,100,1,3,4,4,2,5,3,1,4,2,1,1,1,40,"white","4yearColl","$180,001-$200,000","man","Full-time",""
89,"neg","It is threatening a bit by withholding some of the bonus for the worker. ",0,"nondom",2,2.5,"skip",21,3,7,9,12,15,65,71,79,87,94,100,2,4,2,2,4,2,2,2,3,2,1,1,1,42,"white","MA","Over $200,000","man","Full-time",""
90,"pos","They would see the message as something that motivates them. They would know feeling negative in this situation will do nothing for them so they would focus on feeling positive.",1,"dom",6,3.7,"do",50,5,0,0,0,0,0,0,0,0,10,100,3,4,4,5,4,3,3,4,4,3,1,1,1,25,"white","GED","Over $200,000","woman","Full-time",""
91,"pos","They may think that the manager has faith in them to do the best that they can for the task",1,"dom",5,2.8,"do",45,6,0,10,15,20,25,30,35,40,45,50,4,5,4,1,2,2,2,3,2,3,1,1,1,52,"white","2yearColl","$40,001-$60,000","man","Part-time",""
92,"neg","The dialogue is very impatient. They come across as extremely bossy I think.",0,"nondom",1,4,"do",35,4,5,10,15,20,25,30,35,40,45,50,5,5,3,5,2,6,4,2,4,4,1,1,1,24,"white","4yearColl",NA,"man","Part-time",""
94,"pos","The positive thoughts the employee may have include working towards earning their full bonus.",1,"dom",5,1.9,"do",39,3,10,15,20,25,35,40,55,60,75,100,1,2,1,1,2,5,2,1,2,2,1,1,1,36,"multiracial","4yearColl","$140,001-$160,000","man","Full-time","No comments."
95,"pos","Well if they do their best they know they are entitled to a full bonus. It's also direct and straightforward and some people benefit most from that. ",0,"nondom",1,2.2,"skip",45,3,0,0,0,25,50,76,80,85,90,100,2,2,1,1,3,4,2,1,2,4,1,1,1,33,"black","2yearColl","$0-$20,000","woman","Part-time",""
